Name,Address,Phone,EmailSussex Inlet Pharmacy,192 Jacobs Drive,02 4441 2444,sussexinlet.pharmacy@gmail.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Wreck-Bay-2540-ACT/Sussex Inlet Pharmacy/pharmacy/1c02549b-41b4-8976-fd17-7b7a654dd67d
Narrabundah Pharmacy,18 Iluka Street,02 6295 8274,narrabundah.pharmacy@gmail.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Harman-2600-ACT/Narrabundah Pharmacy/pharmacy/7022b425-ab15-e475-9d24-e680331c50c2
Develin's City Chemist,126 BUNDA STREET,02 6248 5250,tpob@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Harman-2600-ACT/Develin's City Chemist/pharmacy/5b3e4fd8-56de-6a54-585f-6f7798697fa4
Chemist Warehouse - Majura Park,18-26 Spitfire Avenue,02 6262 6169,majurapark@chemistwarehouse.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Harman-2600-ACT/Chemist Warehouse - Majura Park/pharmacy/49c96c9d-b6e4-eb3c-8e88-e7454ac18c78
Deakin Pharmacy,Duff Place,02 6281 3420,deakpharm@bigpond.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Deakin Pharmacy/pharmacy/a471a415-e9cd-ee40-9f14-666192e39cbe
Yarralumla Pharmacy,17 Bentham Street,02 6281 2654,yarralumlapharmacy@yahoo.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Yarralumla Pharmacy/pharmacy/7dde52db-f9a6-a3f6-8da4-03e851324ea8
Priceline Pharmacy - Manuka,18-20 Franklin Street,02 6162 0007,https://www.thepharmacynetwork.com.au/our-pharmacies/franklin/,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Priceline Pharmacy - Manuka/pharmacy/5e6703bc-a80b-b56f-e475-6093cf085761
Capital Chemist - Hughes,22 Hughes Place,02 6281 2581,hughes@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Capital Chemist - Hughes/pharmacy/cda7d04c-3af3-01a0-2977-5e04ec05dc3e
Capital Chemist - Curtin,38B Curtin Place,02 6281 1058,curtin@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Capital Chemist - Curtin/pharmacy/8e21d63a-2a79-56c2-655a-e0ca3ef65f17
Capital Chemist - Kingston,62 Jardine Street,02 6295 9146,kingston@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Capital Chemist - Kingston/pharmacy/23f96b49-8cba-f4ad-3193-e225018c5b61
Capital Chemist - Garran,2 Garran Place,02 6282 2978,garran@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Capital Chemist - Garran/pharmacy/0f773b11-ca2e-e181-63f8-e7a548c919d9
Your Discount Chemist - Griffith,12 Barker Street,02 6295 6725,griffith@kp.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Your Discount Chemist - Griffith/pharmacy/9809d04c-8bfa-9a00-92c7-16a07aec637b
Red Hill Pharmacy ACT,4 Duyfken Place,02 6295 8046,02 6295 3157,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/Red Hill Pharmacy ACT/pharmacy/52ad48ec-bb9d-a77f-8752-a876243852f0
PharmaSave Woden Compounding Pharmacy,2 Keltie Street,02 6282 3960,wodenpharmacy@nunet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Deakin-West-2600-ACT/PharmaSave Woden Compounding Pharmacy/pharmacy/a0aa8399-d4b0-5e7a-4494-5227a4b6adaa
Chemist Warehouse - Woden,24 Corinna Street,02 6281 4884,woden@chemistwarehouse.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Chemist Warehouse - Woden/pharmacy/2d6ecab0-9408-dc10-e4cc-1bcadca3965f
PharmaSave Woden Compounding Pharmacy,2 Keltie Street,02 6282 3960,wodenpharmacy@nunet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/PharmaSave Woden Compounding Pharmacy/pharmacy/a0aa8399-d4b0-5e7a-4494-5227a4b6adaa
Priceline Pharmacy Woden,Corrina Street,02 6282 1414,woden@apharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Priceline Pharmacy Woden/pharmacy/d627084e-3d03-2671-d37a-1b037a4e2c6b
Capital Chemist - Waramanga,Corner Damala Street and Waramanga Place,02 6288 1334,02 6287 1588,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Capital Chemist - Waramanga/pharmacy/9cd4ce85-2f5c-45ef-d29d-80fc051d0376
Capital Chemist - Curtin,38B Curtin Place,02 6281 1058,curtin@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Capital Chemist - Curtin/pharmacy/8e21d63a-2a79-56c2-655a-e0ca3ef65f17
Colbee Court Late Night Chemist,33 Colbee Court,02 6156 3821,colbee@ypm.com.mx,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Colbee Court Late Night Chemist/pharmacy/930a2bd0-66cc-8c27-3868-6ce3b2b1ea1d
Capital Chemist - Hughes,22 Hughes Place,02 6281 2581,hughes@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Capital Chemist - Hughes/pharmacy/cda7d04c-3af3-01a0-2977-5e04ec05dc3e
Cooleman Court Pharmacy,24 Brierly Street,02 6288 1867,cooleman@lifepharmacygroup.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Cooleman Court Pharmacy/pharmacy/8f31637d-f315-d564-f6ac-8f463d53b464
Weston Pharmacy,7-11 Brierly Street,02 6288 4888,weston.pharmacy@nunet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Weston Pharmacy/pharmacy/9d1ab48a-75c8-a0c0-b922-4aa559c43cf5
Capital Chemist - Garran,2 Garran Place,02 6282 2978,garran@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyons-2606-ACT/Capital Chemist - Garran/pharmacy/0f773b11-ca2e-e181-63f8-e7a548c919d9
Yarralumla Pharmacy,17 Bentham Street,02 6281 2654,yarralumlapharmacy@yahoo.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Yarralumla Pharmacy/pharmacy/7dde52db-f9a6-a3f6-8da4-03e851324ea8
Deakin Pharmacy,Duff Place,02 6281 3420,deakpharm@bigpond.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Deakin Pharmacy/pharmacy/a471a415-e9cd-ee40-9f14-666192e39cbe
Capital Chemist - Curtin,38B Curtin Place,02 6281 1058,curtin@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Capital Chemist - Curtin/pharmacy/8e21d63a-2a79-56c2-655a-e0ca3ef65f17
University Pharmacy - Acton ACT,156-B2 Joplin Lane,02 6248 6887,anu.pharmacy@frednet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/University Pharmacy - Acton ACT/pharmacy/b2c3327e-94ac-d6de-2f9c-e4789633168c
Chemist on Northbourne,65 NORTHBOURNE AVENUE,02 6162 1133,tpon@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Chemist on Northbourne/pharmacy/88e7af61-5a31-e775-1d34-345b690b39ce
Capital Chemist - Hughes,22 Hughes Place,02 6281 2581,hughes@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Capital Chemist - Hughes/pharmacy/cda7d04c-3af3-01a0-2977-5e04ec05dc3e
Priceline Pharmacy Canberra Centre,CITY WALK,02 6162 0344,priceline@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Priceline Pharmacy Canberra Centre/pharmacy/b0ee3963-2836-d9c8-acec-459187b481ca
City Market Chemist,148 BUNDA STREET,02 6249 8074,02 6249 8309,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/City Market Chemist/pharmacy/5cb1b88a-c196-82d5-fcd9-9cad33234036
Priceline Pharmacy - Manuka,18-20 Franklin Street,02 6162 0007,https://www.thepharmacynetwork.com.au/our-pharmacies/franklin/,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Priceline Pharmacy - Manuka/pharmacy/5e6703bc-a80b-b56f-e475-6093cf085761
Develin's City Chemist,126 BUNDA STREET,02 6248 5250,tpob@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Yarralumla-2600-ACT/Develin's City Chemist/pharmacy/5b3e4fd8-56de-6a54-585f-6f7798697fa4
Capital Chemist - Waramanga,Corner Damala Street and Waramanga Place,02 6288 1334,02 6287 1588,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Capital Chemist - Waramanga/pharmacy/9cd4ce85-2f5c-45ef-d29d-80fc051d0376
Chapman Pharmacy,58 Perry Drive,0262880410,0261694898,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Chapman Pharmacy/pharmacy/7b130793-5ffc-21c1-fcd5-ce0e1dd1d84b
Capital Chemist - Kambah,Corner Marconi Crescent and Primmer Court,02 6231 7014,kambah@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Capital Chemist - Kambah/pharmacy/051ca449-fefa-7045-62ed-4cbeee8705d9
Weston Pharmacy,7-11 Brierly Street,02 6288 4888,weston.pharmacy@nunet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Weston Pharmacy/pharmacy/9d1ab48a-75c8-a0c0-b922-4aa559c43cf5
Cooleman Court Pharmacy,24 Brierly Street,02 6288 1867,cooleman@lifepharmacygroup.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Cooleman Court Pharmacy/pharmacy/8f31637d-f315-d564-f6ac-8f463d53b464
Chemist Warehouse - Woden,24 Corinna Street,02 6281 4884,woden@chemistwarehouse.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Chemist Warehouse - Woden/pharmacy/2d6ecab0-9408-dc10-e4cc-1bcadca3965f
Priceline Pharmacy Woden,Corrina Street,02 6282 1414,woden@apharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Priceline Pharmacy Woden/pharmacy/d627084e-3d03-2671-d37a-1b037a4e2c6b
Colbee Court Late Night Chemist,33 Colbee Court,02 6156 3821,colbee@ypm.com.mx,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Colbee Court Late Night Chemist/pharmacy/930a2bd0-66cc-8c27-3868-6ce3b2b1ea1d
PharmaSave Woden Compounding Pharmacy,2 Keltie Street,02 6282 3960,wodenpharmacy@nunet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/PharmaSave Woden Compounding Pharmacy/pharmacy/a0aa8399-d4b0-5e7a-4494-5227a4b6adaa
Capital Chemist - Southlands,93 Mawson Place,02 6286 3644,southlands@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Fisher-2611-ACT/Capital Chemist - Southlands/pharmacy/d02b9602-12a7-78c4-d814-44a546b1dc9e
Capital Chemist - Dickson,6 Dickson Place,02 6248 7684,dickson@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Capital Chemist - Dickson/pharmacy/a86e39f7-9bc8-4f85-a98a-b00c007f3d31
,30-42 Dickson Place,02 6247 7944,02 6247 7933,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/undefined/pharmacy/4ceda6f7-e077-494f-aa87-80f125972dd8
Capital Chemist - Lyneham,76 Wattle Street,02 6247 7004,lyneham@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Capital Chemist - Lyneham/pharmacy/28ca1617-5c59-5f9a-2cb2-986c9663c4af
Watson Pharmacy,Watson Place,02 6241 1506,watsonpharmacy@yahoo.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Watson Pharmacy/pharmacy/ee0b4ea9-469a-dff6-44ea-909b2376dcc2
TerryWhite Chemmart Compounding Pharmacy Ainslie,17 Edgar Street,02 6248 7708,office@ainsliepharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/TerryWhite Chemmart Compounding Pharmacy Ainslie/pharmacy/684d2959-3369-4ec4-8b58-5a84b834d5e0
Capital Chemist - O'Connor,9 Sargood Street,02 6248 7050,oconnor@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Capital Chemist - O'Connor/pharmacy/71832f4c-608c-756c-bef3-9da182cc5309
Kaleen Max Value Chemist,Gwydir Square,02 6241 4040,nader.ibrahim@frednet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Kaleen Max Value Chemist/pharmacy/8099cb89-cecd-80bf-96c8-8f6107f9dd0b
Mitchell Discount Pharmacy,141 Flemington Road,02 6241 1233,mitchellpharmacy@alchemigroup.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Mitchell Discount Pharmacy/pharmacy/8eaf6f0e-d6cb-ffc0-860c-b3c8d8274e1d
,18 Lonsdale Street,02 6170 4164,info.beyondpharmacy@gmail.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/undefined/pharmacy/c93da1a8-6da4-46ef-6226-c47eedb73f68
Kaleen Plaza Pharmacy,Georgina Crescent,02 6241 2453,kaleen@caremorepharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Lyneham-2602-ACT/Kaleen Plaza Pharmacy/pharmacy/c6004f37-f0a2-8cfa-38fe-de18ca72090e
,18 Lonsdale Street,02 6170 4164,info.beyondpharmacy@gmail.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/undefined/pharmacy/c93da1a8-6da4-46ef-6226-c47eedb73f68
Develin's City Chemist,126 BUNDA STREET,02 6248 5250,tpob@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/Develin's City Chemist/pharmacy/5b3e4fd8-56de-6a54-585f-6f7798697fa4
Chemist on Northbourne,65 NORTHBOURNE AVENUE,02 6162 1133,tpon@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/Chemist on Northbourne/pharmacy/88e7af61-5a31-e775-1d34-345b690b39ce
City Market Chemist,148 BUNDA STREET,02 6249 8074,02 6249 8309,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/City Market Chemist/pharmacy/5cb1b88a-c196-82d5-fcd9-9cad33234036
Priceline Pharmacy Canberra Centre,CITY WALK,02 6162 0344,priceline@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/Priceline Pharmacy Canberra Centre/pharmacy/b0ee3963-2836-d9c8-acec-459187b481ca
TerryWhite Chemmart Compounding Pharmacy Ainslie,17 Edgar Street,02 6248 7708,office@ainsliepharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/TerryWhite Chemmart Compounding Pharmacy Ainslie/pharmacy/684d2959-3369-4ec4-8b58-5a84b834d5e0
Capital Chemist - O'Connor,9 Sargood Street,02 6248 7050,oconnor@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/Capital Chemist - O'Connor/pharmacy/71832f4c-608c-756c-bef3-9da182cc5309
University Pharmacy - Acton ACT,156-B2 Joplin Lane,02 6248 6887,anu.pharmacy@frednet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/University Pharmacy - Acton ACT/pharmacy/b2c3327e-94ac-d6de-2f9c-e4789633168c
Capital Chemist - Lyneham,76 Wattle Street,02 6247 7004,lyneham@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/Capital Chemist - Lyneham/pharmacy/28ca1617-5c59-5f9a-2cb2-986c9663c4af
,30-42 Dickson Place,02 6247 7944,02 6247 7933,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Braddon-2612-ACT/undefined/pharmacy/4ceda6f7-e077-494f-aa87-80f125972dd8
Capital Chemist - O'Connor,9 Sargood Street,02 6248 7050,oconnor@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Capital Chemist - O'Connor/pharmacy/71832f4c-608c-756c-bef3-9da182cc5309
,18 Lonsdale Street,02 6170 4164,info.beyondpharmacy@gmail.com,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/undefined/pharmacy/c93da1a8-6da4-46ef-6226-c47eedb73f68
University Pharmacy - Acton ACT,156-B2 Joplin Lane,02 6248 6887,anu.pharmacy@frednet.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/University Pharmacy - Acton ACT/pharmacy/b2c3327e-94ac-d6de-2f9c-e4789633168c
Chemist on Northbourne,65 NORTHBOURNE AVENUE,02 6162 1133,tpon@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Chemist on Northbourne/pharmacy/88e7af61-5a31-e775-1d34-345b690b39ce
Develin's City Chemist,126 BUNDA STREET,02 6248 5250,tpob@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Develin's City Chemist/pharmacy/5b3e4fd8-56de-6a54-585f-6f7798697fa4
City Market Chemist,148 BUNDA STREET,02 6249 8074,02 6249 8309,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/City Market Chemist/pharmacy/5cb1b88a-c196-82d5-fcd9-9cad33234036
Priceline Pharmacy Canberra Centre,CITY WALK,02 6162 0344,priceline@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Priceline Pharmacy Canberra Centre/pharmacy/b0ee3963-2836-d9c8-acec-459187b481ca
Capital Chemist - Lyneham,76 Wattle Street,02 6247 7004,lyneham@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Capital Chemist - Lyneham/pharmacy/28ca1617-5c59-5f9a-2cb2-986c9663c4af
TerryWhite Chemmart Compounding Pharmacy Ainslie,17 Edgar Street,02 6248 7708,office@ainsliepharmacy.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/TerryWhite Chemmart Compounding Pharmacy Ainslie/pharmacy/684d2959-3369-4ec4-8b58-5a84b834d5e0
Capital Chemist - Dickson,6 Dickson Place,02 6248 7684,dickson@capitalchemist.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Turner-2612-ACT/Capital Chemist - Dickson/pharmacy/a86e39f7-9bc8-4f85-a98a-b00c007f3d31
Campbell Pharmacy,32 Blamey Place,02 6248 0783,campbellpharmacy@iinet.net.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Campbell-2612-ACT/Campbell Pharmacy/pharmacy/51be05fb-81f8-692c-800e-7c48bed31fe2
Priceline Pharmacy Canberra Centre,CITY WALK,02 6162 0344,priceline@develin.com.au,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/Campbell-2612-ACT/Priceline Pharmacy Canberra Centre/pharmacy/b0ee3963-2836-d9c8-acec-459187b481ca
